Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too many mismatches	Unmapped: too short	Unmapped: other
VIL_17_151	70981367.0	4182649.0	7051.0	31053.0	838436.0	341585.0
VIL_17_152	68959820.0	3780345.0	4516.0	19984.0	539563.0	179854.0
VIL_17_163	24299889.0	1338316.0	861.0	10991.0	340718.0	43964.0
VIL_17_164	50694811.0	2813641.0	2347.0	32902.0	789656.0	230316.0
VIL_18_045	61162429.0	3423716.0	3219.0	32510.0	1105329.0	227568.0
VIL_18_046	44495727.0	2378586.0	1556.0	22199.0	843571.0	88797.0
VIL_18_061	75737133.0	5329860.0	3159.0	38486.0	1577935.0	192431.0
VIL_18_120	68966433.0	3884265.0	1959.0	28586.0	1400719.0	142931.0
WAL_OTH2405f-Dec19	65840734.0	2967115.0	3717.0	43011.0	580642.0	86021.0
WAL_OTH2405f-Feb20A	53510762.0	2894112.0	2551.0	17795.0	1201138.0	44487.0
WAL_OTH2405f-Feb20C	61934630.0	2811977.0	3244.0	22220.0	1655394.0	77770.0
WAL_OTH2406d-Dec19	56477287.0	2859089.0	2858.0	15913.0	525139.0	111393.0
WAL_OTH2406d-Feb20A	58232659.0	2805592.0	2813.0	16324.0	1754858.0	48973.0
WAL_OTH2406d-Feb20B	56526618.0	4588036.0	4227.0	15508.0	2109098.0	38770.0
WAL_OTH2407d-Dec19	60172855.0	2707183.0	3464.0	30093.0	782409.0	90278.0
WAL_OTH2407d-Feb20A	69405123.0	3858113.0	8078.0	21086.0	1560349.0	63257.0
WAL_OTH2407d-Feb20B	76750845.0	4050327.0	12516.0	25023.0	1926780.0	75069.0
WAL_OTH2419f-Dec19	60218366.0	2942858.0	3827.0	33124.0	563110.0	99372.0
WAL_OTH2419f-Feb20A	62939980.0	2893636.0	2965.0	19760.0	1363427.0	59279.0
WAL_OTH2419f-Feb20B	49598401.0	2554120.0	2481.0	14557.0	1280972.0	65504.0
